id,genre,nom_commun,nom_latin,cultivar_ou_espece,famille,categorie,exposition_soleil,exposition_mi_ombre,exposition_ombre,plante_peu_courante,sol_sec,sol_frais,sol_humide,sol_lourd,sol_leger,sol_draine,sol_calcaire,sol_acide,sol_riche,sol_pauvre,besoin_eau,hauteur_min_cm,hauteur_max_cm,largeur_min_cm,largeur_max_cm,floraison_debut,floraison_fin,couleur_fleur,couleur_feuillage,couleur_blanc,couleur_jaune,couleur_orange,couleur_rouge,couleur_rose,couleur_violet,couleur_bleu,couleur_vert,couleur_pourpre,couleur_creme,couleur_argente,palette_couleur,usage_massif,usage_bordure,usage_rocaille,usage_bassin,usage_pot,usage_couvre_sol,usage_bouquet,plantation_methode,entretien,remarques,rusticite_min_C,zone_rusticite,feuillage_type,distance_plantation_cm,toxicite,attire_pollinisateurs,niveau_donnees,source_page,source_photo,source_enrichissement,statut_validation,lot_integration
39,Anemone,Anémone,Anemone blanda,blanda,Renonculacées,vivace bulbeuse,0,1,1,0,1,1,0,0,0,0,0,0,1,0,moyen,15,15,30,30,mars,avril,"bleu, rose, rouge carmin",,0,0,0,1,1,0,1,0,0,0,0,chaude|froide,1,0,0,0,0,1,0,,,"Emplacements ombragés; sol riche en humus, modérément sec ou frais.",,,caduc,,,,livre_complet,42,IMG_1BE69810,déduit du livre (catégorie bulbeuse/tubéreuse),extrait_structuré,lots_1_a_5
40,Anemone,Anémone du Canada,Anemone canadensis,canadensis,Renonculacées,vivace,1,1,0,0,0,1,1,0,0,0,0,0,0,0,moyen,20,30,30,40,juin,juillet,blanc nacré,,1,0,0,0,0,0,0,0,0,0,0,neutre,1,0,0,0,0,1,0,,,Souche traçante vigoureuse; bon effet tapissant.,,,,,,,livre_complet,43,,,extrait_structuré,lots_1_a_5
41,Anemone,Anémone,Anemone x lesseri,x lesseri,Renonculacées,vivace,1,1,0,1,1,1,0,0,0,0,1,0,0,0,moyen,20,30,30,40,mai,juin,rouge carmin,,0,0,0,1,0,0,0,0,0,0,0,chaude,1,0,1,0,0,0,0,,,,,,,,,,livre_complet,43,,,extrait_structuré,lots_1_a_5
42,Anemone,Anémone,Anemone narcissiflora,narcissiflora,Renonculacées,vivace,1,1,0,1,0,1,1,0,0,0,0,0,0,0,moyen,40,40,40,40,mai,juin,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,1,0,0,0,0,,,Sol humifère frais; espèce durable pour rocaille.,,,,,,,livre_complet,43,,,extrait_structuré,lots_1_a_5
43,Anemone,Anémone des bois,Anemone nemorosa,nemorosa,Renonculacées,vivace,0,1,1,1,0,1,1,0,0,0,0,0,0,0,moyen,15,20,40,40,avril,mai,"blanc, rose ou bleu selon variété",,1,0,0,0,1,0,1,0,0,0,0,chaude|froide|neutre,1,0,0,0,0,1,0,,,"Sous-bois, sous arbustes; sol frais à humide au printemps.",,,,,,,livre_complet,43,,,extrait_structuré,lots_1_a_5
44,Anemone,Anémone sylvestre,Anemone sylvestris,sylvestris,Renonculacées,vivace,1,1,0,0,1,1,0,0,0,0,1,0,0,0,moyen,30,40,40,40,mai,juin,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,1,0,0,0,0,0,1,,,Tolère sol limoneux et calcaire; aime les emplacements chauds.,,,,,,,livre_complet,43,,,extrait_structuré,lots_1_a_5
45,Anemone,Anémone d’automne,Anemone hupehensis,hupehensis,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,1,0,moyen,80,100,50,60,août,octobre,"rose carmin, rose tendre",,0,0,0,1,1,0,0,0,0,0,0,chaude,1,0,0,0,0,0,1,,,"Sol riche, frais ou jamais très sec; pailler en climat très froid.",,,,,,,livre_complet,44,,,extrait_structuré,lots_1_a_5
46,Anemone,Anémone du Japon,Anemone x hybrida,x hybrida,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,1,0,moyen,70,120,50,60,septembre,octobre,"blanc, rose, rose foncé",,1,0,0,0,1,0,0,0,0,0,0,chaude|neutre,1,0,0,0,0,0,1,,,"Variétés: Honorine Jobert, Königin Charlotte, Pamina, Serenade, Whirlwind.",,,,,,,livre_complet,45,,,extrait_structuré,lots_1_a_5
47,Anemone,Anémone tomenteuse,Anemone tomentosa,Robustissima,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,0,0,moyen,100,100,60,60,août,septembre,"blanc rosé, revers rose",,1,0,0,0,1,0,0,0,0,0,0,chaude|neutre,1,0,0,0,0,0,1,,,Forme vigoureuse et floribonde.,,,,,,,livre_complet,45,,,extrait_structuré,lots_1_a_5
48,Angelica,Angélique décorative,Angelica gigas,gigas,Apiacées,bisannuelle/vivace,1,1,0,0,0,1,1,0,0,1,0,0,0,0,moyen,200,250,150,150,juin,août,pourpre,,0,0,0,0,0,1,0,0,1,0,0,froide,1,0,0,0,0,0,0,,,Isolée parmi plantes basses ou devant arbustes; sol perméable et humifère.,,,,,,,livre_complet,45,,,extrait_structuré,lots_1_a_5
49,Antennaria,Pied de chat,Antennaria dioica,dioica,Astéracées,couvre-sol,1,0,0,0,1,0,0,0,0,0,1,0,0,1,faible,10,15,40,40,mai,juin,"blanc mâle, rosé femelle",,1,0,0,0,1,0,0,0,0,0,0,chaude|neutre,0,0,1,0,1,1,0,,,,,,,,,,livre_complet,46,,,extrait_structuré,lots_1_a_5
50,Antennaria,Pied de chat,Antennaria parvifolia,parvifolia,Astéracées,couvre-sol,1,0,0,0,1,0,0,0,0,0,1,0,0,0,faible,15,20,40,40,,,,,0,0,0,0,0,0,0,0,0,0,0,non_renseignee,0,0,1,0,0,1,0,,,Terre sèche même caillouteuse.,,,,,,,livre_partiel,46,,,extrait_structuré,lots_1_a_5
51,Anthemis,Camomille,Anthemis carpatica,Karpatenschnee,Astéracées,vivace,1,0,0,1,1,0,0,0,0,1,0,0,0,1,faible,15,20,40,40,juin,juin,blanc cœur jaune,,1,1,0,0,0,0,0,0,0,0,0,chaude|neutre,0,1,1,0,0,0,0,,,,,,,,,,livre_complet,46,,,extrait_structuré,lots_1_a_5
52,Anthemis,Camomille,Anthemis cupaniana,cupaniana,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,0,0,0,0,faible,20,30,60,60,juin,juillet,blanc cœur jaune,,1,1,0,0,0,0,0,0,0,0,0,chaude|neutre,1,1,0,0,0,0,0,,,,,,,,,,livre_complet,46,,,extrait_structuré,lots_1_a_5
53,Anthemis,Camomille,Anthemis hybrides,hybrides,Astéracées,vivace,1,0,0,1,0,0,0,0,0,1,0,0,0,0,faible,50,70,50,60,juin,septembre,"jaune, crème, citron",,0,1,0,0,0,0,0,0,0,1,0,chaude|neutre,1,0,0,0,0,0,1,,,,,,,,,,livre_complet,47,,,extrait_structuré,lots_1_a_5
54,Anthemis,Camomille,Anthemis marschalliana,marschalliana,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,0,0,0,0,faible,20,30,40,50,mai,juin,jaune,,0,1,0,0,0,0,0,0,0,0,0,chaude,0,1,1,0,0,0,0,,,,,,,,,,livre_complet,47,,,extrait_structuré,lots_1_a_5
55,Anthemis,Camomille des teinturiers,Anthemis tinctoria,tinctoria,Astéracées,vivace,1,0,0,0,1,0,0,0,0,1,0,0,0,0,faible,40,60,50,50,juin,septembre,jaune d’or,,0,1,0,0,0,0,0,0,0,0,0,chaude,1,0,0,0,0,0,0,,,,,,,,,,livre_complet,47,,,extrait_structuré,lots_1_a_5
56,Anthericum,Phalangère,Anthericum liliago,liliago,Liliacées,vivace,1,0,0,0,1,0,0,0,0,1,1,0,0,0,faible,50,60,30,30,mai,juin,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,1,0,1,0,1,,,,,,,,,,livre_complet,47,,,extrait_structuré,lots_1_a_5
57,Anthericum,Phalangère,Anthericum ramosum,ramosum,Liliacées,vivace,1,0,0,0,1,0,0,0,0,1,1,0,0,0,faible,60,70,30,40,juin,août,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,1,0,1,0,0,0,0,,,,,,,,,,livre_complet,47,,,extrait_structuré,lots_1_a_5
58,Aquilegia,Ancolie,Aquilegia alpina,alpina,Renonculacées,vivace,1,1,0,0,0,1,1,0,0,0,0,0,0,0,moyen,50,60,40,40,mai,juin,bleu,,0,0,0,0,0,0,1,0,0,0,0,froide,1,0,1,0,0,0,0,,,Craint le calcaire.,,,,,,,livre_complet,49,,,extrait_structuré,lots_1_a_5
59,Aquilegia,Ancolie,Aquilegia canadensis,canadensis,Renonculacées,vivace,0,1,0,1,0,0,1,0,0,0,0,0,0,0,moyen,40,40,30,30,avril,mai,rouge et jaune,,0,1,0,1,0,0,0,0,0,0,0,chaude,1,0,1,0,1,0,0,,,,,,,,,,livre_complet,49,,,extrait_structuré,lots_1_a_5
60,Aquilegia,Ancolie,Aquilegia chrysantha,chrysantha,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,0,0,moyen,60,80,40,40,mai,juillet,jaune ou blanc,,1,1,0,0,0,0,0,0,0,0,0,chaude|neutre,1,0,0,0,0,0,0,,,,,,,,,,livre_complet,49,,,extrait_structuré,lots_1_a_5
61,Aquilegia,Ancolie,Aquilegia flabellata,flabellata,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,0,0,moyen,15,25,25,30,avril,avril,bleu/blanc/lavande,,1,0,0,0,0,0,1,0,0,0,0,froide|neutre,0,1,1,0,1,0,0,,,,,,,,,,livre_complet,49,,,extrait_structuré,lots_1_a_5
62,Aquilegia,Ancolie,Aquilegia hybrides,hybrides,Renonculacées,vivace,1,1,0,0,0,1,0,0,0,0,0,0,0,0,moyen,40,100,40,40,avril,juin,coloris variés,,0,1,0,0,0,0,0,0,0,0,0,chaude,1,0,0,0,0,0,0,,,"Biedermeier, Blue Star, Crimson Star, Kristall, Mckana Hybrids, Musik.",,,,,,,livre_complet,50,,,extrait_structuré,lots_1_a_5
63,Aquilegia,Ancolie,Aquilegia vulgaris,vulgaris,Renonculacées,vivace,1,1,0,1,0,1,0,0,0,0,0,0,0,0,moyen,60,80,50,50,mai,juin,nombreux coloris,,0,1,0,0,0,0,0,0,0,0,0,chaude,1,0,0,0,0,0,0,,,Se ressème souvent seule.,,,,,,,livre_complet,50,,,extrait_structuré,lots_1_a_5
64,Arabis,Arabette,Arabis x arendsii,Compinkie,Brassicacées,vivace,1,1,0,0,0,0,0,0,0,1,0,0,0,0,faible,15,15,50,50,,,rose carmin,,0,0,0,1,1,0,0,0,0,0,0,chaude,0,1,1,0,0,0,0,,,,,,,,,,livre_complet,51,,,extrait_structuré,lots_1_a_5
65,Arabis,Arabette,Arabis blepharophylla,blepharophylla,Brassicacées,vivace,1,1,0,0,0,1,0,0,1,0,0,0,0,0,moyen,10,10,30,30,mars,avril,carmin parfumé,,0,0,0,1,0,0,0,0,0,0,0,chaude,0,0,1,0,1,0,0,,,,,,,,,,livre_complet,51,,,extrait_structuré,lots_1_a_5
66,Arabis,Corbeille d’argent,Arabis caucasica,caucasica,Brassicacées,vivace,1,1,0,0,0,0,0,0,0,1,0,0,0,0,faible,15,20,50,50,avril,mai,blanc ou rose selon variété,,1,0,0,0,1,0,0,0,0,0,0,chaude|neutre,0,1,1,0,0,0,0,,,,,,,,,,livre_complet,51,,,extrait_structuré,lots_1_a_5
67,Arabis,Arabette,Arabis ferdinandi-coburgii,Variegata,Brassicacées,vivace,1,1,0,0,0,0,0,0,0,1,0,0,0,0,faible,10,10,30,30,mai,mai,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,1,0,1,0,0,,,,,,,,,,livre_complet,51,,,extrait_structuré,lots_1_a_5
68,Arabis,Arabette,Arabis procurrens,procurrens,Brassicacées,couvre-sol,1,1,0,0,0,0,0,0,0,0,0,0,0,1,faible,10,10,30,40,avril,avril,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,0,0,0,0,1,0,,,,,,,,,,livre_complet,52,,,extrait_structuré,lots_1_a_5
69,Arctanthemum,Arctanthème,Arctanthemum arcticum,arcticum,Astéracées,vivace,1,0,0,0,1,1,0,0,0,0,0,0,0,0,moyen,30,30,50,50,août,octobre,"blanc, jaune, rose",,1,1,0,0,1,0,0,0,0,0,0,chaude|neutre,1,1,1,0,0,0,0,,,,,,,,,,livre_complet,52,,,extrait_structuré,lots_1_a_5
70,Arenaria,Sabline,Arenaria montana,montana,Caryophyllacées,vivace,1,1,0,0,0,0,0,0,0,1,0,0,0,0,faible,10,15,40,50,mai,juin,blanc,,1,0,0,0,0,0,0,0,0,0,0,neutre,0,1,1,0,0,0,0,,,,,,,,,,livre_complet,52,,,extrait_structuré,lots_1_a_5
71,Argyranthemum,Argyranthème,Argyranthemum frutescens,frutescens,Astéracées,vivace peu rustique,1,0,0,0,0,0,0,0,0,1,0,0,0,0,moyen,60,100,60,60,,,"blanc, jaune, rose",,1,1,0,0,1,0,0,0,0,0,0,chaude|neutre,1,0,0,0,1,0,0,,,Plutôt pour climat doux ou culture en pot à abriter l’hiver.,-5,,,,,,livre_complet,52,,déduit du livre (mention climat doux ou peu rustique),extrait_structuré,lots_1_a_5
72,Armeria,Gazon d’Espagne,Armeria juniperifolia,juniperifolia / A. caespitosa,Plumbaginacées,vivace,1,1,0,0,1,0,0,0,0,1,0,0,0,1,,5,7,20,30,avril,mai,rose clair,,0,0,0,0,1,0,0,0,0,0,0,chaude,0,0,1,0,1,0,0,,,Rosette dense; sol maigre et bien perméable.,,,,,,,livre_complet,53,,,extrait_structuré,lots_1_a_5
73,Armeria,Gazon d’Espagne,Armeria maritima,maritima,Plumbaginacées,vivace,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,20,20,40,40,mai,juin,"blanc, rose, rouge carmin",,1,0,0,1,1,0,0,0,0,0,0,chaude|neutre,0,1,1,0,0,0,0,,,"Forme des coussins; bord de massif, dallage fleuri.",,,,,,,livre_complet,53,,,extrait_structuré,lots_1_a_5
74,Armeria,Gazon d’Espagne,Armeria pseudarmeria,pseudarmeria,Plumbaginacées,vivace,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,30,30,40,40,juin,août,"rose lilacé, rose rougeâtre",,0,0,0,1,1,0,0,0,0,0,0,chaude,1,1,0,0,0,0,1,,Rajeunir tous les 2 ou 3 ans.,,,,,,,,livre_complet,53,,,extrait_structuré,lots_1_a_5
